"Fisktegund","¶slëgt","skip","id","date","gear","harbour"
"Kolmunni",222000,"155","496361","27.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",263000,"155","495589","18.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",27000,"155","495500","11.11.2015","S°ldar-/kolmunnaflotvarpa","Neskaupstaåur"
"Ufsi",855,"155","494874","06.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"S°ld",528000,"155","494874","06.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",11000,"155","494874","06.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Gr†sleppa",132,"155","494874","06.11.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Ufsi",321,"155","494042","30.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"S°ld",523000,"155","494042","30.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",4000,"155","494042","30.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Ufsi",600,"155","493070","22.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"S°ld",641000,"155","493070","22.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",23000,"155","493070","22.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Gr†sleppa",142,"155","493070","22.10.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"S°ld",436000,"155","488621","17.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",1000,"155","488621","17.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Makr°ll",1755,"155","488621","17.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Gr†sleppa",122,"155","488621","17.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",3000,"155","488256","13.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Makr°ll",675705,"155","488256","13.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Kolmunni",1000,"155","487912","07.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Makr°ll",786489,"155","487912","07.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Gr†sleppa",65,"155","487912","07.09.2015","S°ldar-/kolmunnaflotvarpa","Vopnafjîråur"
"Makr°ll",33230,"259","540891","14.08.2016","S°ldar-/kolmunnaflotvarpa","Eskifjîråur"
"Makr°ll",30099,"259","540555","11.08.2016","Botnvarpa","Sandgeråi"
"S°ld",1000,"259","539265","08.08.2016","S°ldar-/kolmunnaflotvarpa","Grundarfjîråur"
"Makr°ll",37381,"259","539265","08.08.2016","S°ldar-/kolmunnaflotvarpa","Grundarfjîråur"
"Ufsi",5,"530","543651","31.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",2996,"530","543651","31.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Skarkoli",433,"530","543651","31.08.2016","Dragn¢t 135 mm","Skagastrînd"
"çorskur",682,"530","543651","31.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Steinb°tur",24,"530","543651","31.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",6208,"530","543547","30.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Skarkoli",367,"530","543547","30.08.2016","Dragn¢t 135 mm","Skagastrînd"
"çorskur",514,"530","543547","30.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Steinb°tur",24,"530","543547","30.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",7035,"530","543373","29.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Skarkoli",702,"530","543373","29.08.2016","Dragn¢t 135 mm","Skagastrînd"
"çorskur",489,"530","543373","29.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Steinb°tur",33,"530","543373","29.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",3636,"530","542827","25.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Skarkoli",725,"530","542827","25.08.2016","Dragn¢t 135 mm","Skagastrînd"
"çorskur",874,"530","542827","25.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Steinb°tur",8,"530","542827","25.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",5874,"530","542568","24.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Skarkoli",691,"530","542568","24.08.2016","Dragn¢t 135 mm","Skagastrînd"
"çorskur",352,"530","542568","24.08.2016","Dragn¢t 135 mm","Skagastrînd"
"Steinb°tur",18,"530","542568","24.08.2016","Dragn¢t 135 mm","Skagastrînd"
"ósa",8163,"530","542377","23.08.2016","Dragn¢t 135 mm","Skagastrînd"
