"Fisktegund","Óslægt","skip","id","date","gear","harbour"
"Ýsa",70,"363","752647","31.08.2020","Net","Keflavík"
"Skarkoli",55,"363","752647","31.08.2020","Net","Keflavík"
"Þorskur",6185,"363","752647","31.08.2020","Net","Keflavík"
"Ýsa",96,"363","752518","30.08.2020","Net","Keflavík"
"Skarkoli",51,"363","752518","30.08.2020","Net","Keflavík"
"Þorskur",3538,"363","752518","30.08.2020","Net","Keflavík"
"Þorskur",3629,"363","752452","29.08.2020","Net","Keflavík"
"Skarkoli",105,"363","752399","28.08.2020","Net","Keflavík"
"Þorskur",3896,"363","752399","28.08.2020","Net","Keflavík"
"Ýsa",251,"363","752269","27.08.2020","Net","Keflavík"
"Skarkoli",117,"363","752269","27.08.2020","Net","Keflavík"
"Þorskur",3220,"363","752269","27.08.2020","Net","Keflavík"
"Skarkoli",170,"363","752132","26.08.2020","Net","Keflavík"
"Þorskur",2811,"363","752132","26.08.2020","Net","Keflavík"
"Skarkoli",67,"363","751979","25.08.2020","Net","Keflavík"
"Þorskur",2331,"363","751979","25.08.2020","Net","Keflavík"
"Skarkoli",63,"363","751613","21.08.2020","Net","Keflavík"
"Þorskur",2751,"363","751613","21.08.2020","Net","Keflavík"
"Skarkoli",164,"363","751520","20.08.2020","Net","Keflavík"
"Þorskur",3790,"363","751520","20.08.2020","Net","Keflavík"
"Skarkoli",30,"363","751271","19.08.2020","Net","Keflavík"
"Þorskur",3406,"363","751271","19.08.2020","Net","Keflavík"
"Skarkoli",65,"363","750840","18.08.2020","Net","Keflavík"
"Þorskur",4029,"363","750840","18.08.2020","Net","Keflavík"
"Skarkoli",125,"363","750239","17.08.2020","Net","Keflavík"
"Þorskur",4940,"363","750239","17.08.2020","Net","Keflavík"
"Skarkoli",273,"363","750056","16.08.2020","Net","Keflavík"
"Þorskur",5543,"363","750056","16.08.2020","Net","Keflavík"
"Þorskur",4583,"363","750013","15.08.2020","Net","Keflavík"
"Þorskur",6425,"363","749990","14.08.2020","Net","Keflavík"
"Ufsi",4,"363","749881","13.08.2020","Net","Keflavík"
